,Unnamed: 0,Unnamed: 0.1,iso_code,continent,location,date,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
95,100,100,JPN,Asia,Japan,2020-01-22,126476458.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919
96,101,101,JEY,Europe,Jersey,2021-01-24,101073.0,,,,,,,,,,,,,,
97,102,102,JOR,Asia,Jordan,2020-03-03,10203140.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
98,103,103,KAZ,Asia,Kazakhstan,2020-03-13,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825
99,104,104,KEN,Africa,Kenya,2020-03-06,53771300.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601
100,106,106,KWT,Asia,Kuwait,2020-02-24,4270563.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806
101,107,107,KGZ,Asia,Kyrgyzstan,2020-03-18,6524191.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697
102,108,108,LAO,Asia,Laos,2020-03-24,7275556.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613
103,109,109,LVA,Europe,Latvia,2020-02-29,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866
104,110,110,LBN,Asia,Lebanon,2020-02-21,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
105,111,111,LSO,Africa,Lesotho,2020-05-13,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527
106,112,112,LBR,Africa,Liberia,2020-03-16,5057677.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48
107,113,113,LBY,Africa,Libya,2020-03-04,6871287.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724
108,114,114,LIE,Europe,Liechtenstein,2020-03-04,38137.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919
109,115,115,LTU,Europe,Lithuania,2020-02-29,2722291.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882
110,116,116,LUX,Europe,Luxembourg,2020-02-24,625976.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916
111,117,117,MAC,Asia,Macao,2021-02-08,649342.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,
112,118,118,MDG,Africa,Madagascar,2020-03-20,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528
113,119,119,MWI,Africa,Malawi,2020-03-29,19129955.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483
114,120,120,MYS,Asia,Malaysia,2020-01-25,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81
115,121,121,MDV,Asia,Maldives,2020-03-08,540542.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74
116,122,122,MLI,Africa,Mali,2020-03-25,20250834.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434
117,123,123,MLT,Europe,Malta,2020-02-06,441539.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895
118,124,124,MHL,Oceania,Marshall Islands,2020-10-28,59194.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704
119,125,125,MRT,Africa,Mauritania,2020-03-14,4649660.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546
120,126,126,MUS,Africa,Mauritius,2020-03-18,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
121,127,127,MEX,North America,Mexico,2020-01-01,128932753.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
122,128,128,FSM,Oceania,Micronesia (country),2021-01-21,115021.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62
123,129,129,MDA,Europe,Moldova,2020-03-08,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
124,130,130,MCO,Europe,Monaco,2020-02-29,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,
125,131,131,MNG,Asia,Mongolia,2020-03-10,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
126,132,132,MNE,Europe,Montenegro,2020-03-17,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829
127,133,133,MSR,North America,Montserrat,2021-02-08,4999.0,,,,,,,,,,,,,74.16,
128,134,134,MAR,Africa,Morocco,2020-02-07,36910558.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686
129,135,135,MOZ,Africa,Mozambique,2020-03-22,31255435.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
130,136,136,MMR,Asia,Myanmar,2020-03-27,54409794.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
131,137,137,NAM,Africa,Namibia,2020-03-14,2540916.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646
132,138,138,NRU,Oceania,Nauru,2021-04-08,10834.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,
133,139,139,NPL,Asia,Nepal,2020-01-25,29136808.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
134,140,140,NLD,Europe,Netherlands,2020-02-27,17134873.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
135,141,141,NZL,Oceania,New Zealand,2020-02-28,4822233.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
136,142,142,NIC,North America,Nicaragua,2020-03-19,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66
137,143,143,NER,Africa,Niger,2020-03-20,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394
138,144,144,NGA,Africa,Nigeria,2020-02-28,206139587.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539
139,146,146,MKD,Europe,North Macedonia,2020-02-26,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774
140,148,148,NOR,Europe,Norway,2020-02-23,5421242.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957
141,150,150,OMN,Asia,Oman,2020-02-24,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
