,Unnamed: 0,Unnamed: 0.1,iso_code,continent,location,date,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
179,189,189,SWE,Europe,Sweden,2020-02-01,10099270.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945
180,190,190,CHE,Europe,Switzerland,2020-02-25,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955
181,191,191,SYR,Asia,Syria,2020-03-22,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
182,192,192,TWN,Asia,Taiwan,2020-01-16,23816775.0,,42.2,,8.353,,,103.957,,,,,,80.46,
183,193,193,TJK,Asia,Tajikistan,2020-04-30,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
184,194,194,TZA,Africa,Tanzania,2020-03-16,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529
185,195,195,THA,Asia,Thailand,2020-01-04,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777
186,196,196,TLS,Asia,Timor,2020-03-22,1318442.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606
187,197,197,TGO,Africa,Togo,2020-03-04,8278737.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515
188,198,198,TON,Oceania,Tonga,2021-04-14,105697.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725
189,199,199,TTO,North America,Trinidad and Tobago,2020-03-14,1399491.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796
190,200,200,TUN,Africa,Tunisia,2020-03-04,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74
191,201,201,TUR,Asia,Turkey,2020-03-11,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
192,202,202,TCA,North America,Turks and Caicos Islands,2021-01-10,38718.0,37.312,,,,,,,,,,,,80.22,
193,203,203,UGA,Africa,Uganda,2020-03-21,45741000.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544
194,204,204,UKR,Europe,Ukraine,2020-03-03,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779
195,205,205,ARE,Asia,United Arab Emirates,2020-01-29,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
196,206,206,GBR,Europe,United Kingdom,2020-01-31,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932
197,207,207,USA,North America,United States,2020-01-22,331002647.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
198,208,208,URY,South America,Uruguay,2020-03-13,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
199,209,209,UZB,Asia,Uzbekistan,2020-03-15,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72
200,210,210,VUT,Oceania,Vanuatu,2020-11-10,307150.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
201,211,211,VAT,Europe,Vatican,2020-03-06,809.0,,,,,,,,,,,,,75.12,
202,212,212,VEN,South America,Venezuela,2020-03-14,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711
203,213,213,VNM,Asia,Vietnam,2020-01-23,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704
204,215,215,YEM,Asia,Yemen,2020-04-10,29825968.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47
205,216,216,ZMB,Africa,Zambia,2020-03-18,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584
206,217,217,ZWE,Africa,Zimbabwe,2020-03-20,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
